Task/Step,Start Date,End Date,Status,Duration
FNMPDataWarehouse,4/8/2019 7:23:35 am,4/8/2019 7:25:06 am,Completed,0:01:31
FNMPDataWarehouse,4/7/2019 8:32:00 am,4/7/2019 8:32:08 am,Completed,0:00:08
FNMPDataWarehouse,4/7/2019 8:30:35 am,4/7/2019 8:31:47 am,Completed,0:01:12
FNMPDataWarehouse,4/7/2019 8:25:55 am,4/7/2019 8:30:23 am,Completed,0:04:28
FNMPDataWarehouse,4/7/2019 8:12:13 am,4/7/2019 8:12:54 am,Completed,0:00:41
FNMPDataWarehouse,4/7/2019 7:57:02 am,4/7/2019 7:58:41 am,Completed,0:01:39
FNMPDataWarehouse,4/7/2019 7:42:00 am,4/7/2019 7:43:27 am,Completed,0:01:27
FNMPDataWarehouse,4/7/2019 2:26:10 am,4/7/2019 2:27:22 am,Completed,0:01:12
FNMPDataWarehouse,4/7/2019 2:11:08 am,4/7/2019 2:14:38 am,Completed,0:03:30
FNMPDataWarehouse,4/6/2019 7:16:34 am,4/6/2019 7:16:41 am,Completed,0:00:07
FNMPDataWarehouse,4/6/2019 7:07:13 am,4/6/2019 7:08:40 am,Completed,0:01:27
FNMPDataWarehouse,4/6/2019 7:01:32 am,4/6/2019 7:02:32 am,Completed,0:01:00
FNMPDataWarehouse,4/6/2019 6:46:36 am,4/6/2019 6:47:39 am,Completed,0:01:03
FNMPDataWarehouse,4/6/2019 2:25:04 am,4/6/2019 2:26:40 am,Completed,0:01:36
FNMPDataWarehouse,4/6/2019 2:10:03 am,4/6/2019 2:10:27 am,Completed,0:00:24
FNMPDataWarehouse,4/5/2019 4:10:28 pm,4/5/2019 4:10:35 pm,Completed,0:00:07
FNMPDataWarehouse,4/5/2019 3:58:52 pm,4/5/2019 4:00:39 pm,Completed,0:01:47
FNMPDataWarehouse,4/5/2019 3:55:21 pm,4/5/2019 3:57:18 pm,Completed,0:01:57
FNMPDataWarehouse,4/5/2019 2:56:26 pm,4/5/2019 2:57:27 pm,Completed,0:01:01
FNMPDataWarehouse,4/5/2019 2:41:19 pm,4/5/2019 2:44:33 pm,Completed,0:03:14
FNMPDataWarehouse,4/5/2019 6:34:01 am,4/5/2019 6:34:10 am,Completed,0:00:09
FNMPDataWarehouse,4/5/2019 6:25:01 am,4/5/2019 6:26:11 am,Completed,0:01:10
FNMPDataWarehouse,4/5/2019 6:19:00 am,4/5/2019 6:20:24 am,Completed,0:01:24
FNMPDataWarehouse,4/5/2019 6:03:58 am,4/5/2019 6:05:05 am,Completed,0:01:07
FNMPDataWarehouse,4/5/2019 2:25:24 am,4/5/2019 2:26:28 am,Completed,0:01:04
FNMPDataWarehouse,4/5/2019 2:10:23 am,4/5/2019 2:13:56 am,Completed,0:03:33
FNMPDataWarehouse,4/4/2019 6:20:52 pm,4/4/2019 6:21:56 pm,Completed,0:01:04
FNMPDataWarehouse,4/4/2019 6:05:50 pm,4/4/2019 6:05:58 pm,Completed,0:00:08
FNMPDataWarehouse,4/4/2019 4:15:46 pm,4/4/2019 4:16:03 pm,Completed,0:00:17
FNMPDataWarehouse,4/4/2019 4:00:45 pm,4/4/2019 4:05:06 pm,Completed,0:04:21
FNMPDataWarehouse,4/4/2019 3:42:33 pm,4/4/2019 3:44:14 pm,Completed,0:01:41
FNMPDataWarehouse,4/4/2019 3:27:26 pm,4/4/2019 3:35:38 pm,Completed,0:08:12
FNMPDataWarehouse,4/4/2019 7:46:13 am,4/4/2019 7:46:21 am,Completed,0:00:08
FNMPDataWarehouse,4/4/2019 7:32:56 am,4/4/2019 7:34:34 am,Completed,0:01:38
FNMPDataWarehouse,4/4/2019 7:31:11 am,4/4/2019 7:32:45 am,Completed,0:01:34
FNMPDataWarehouse,4/4/2019 7:16:10 am,4/4/2019 7:16:33 am,Completed,0:00:23
FNMPDataWarehouse,4/4/2019 7:01:08 am,4/4/2019 7:02:21 am,Completed,0:01:13
FNMPDataWarehouse,4/4/2019 6:46:07 am,4/4/2019 6:47:14 am,Completed,0:01:07
FNMPDataWarehouse,4/4/2019 2:24:32 am,4/4/2019 2:25:46 am,Completed,0:01:14
FNMPDataWarehouse,4/4/2019 2:09:31 am,4/4/2019 2:13:09 am,Completed,0:03:38
FNMPDataWarehouse,4/1/2019 3:54:16 pm,4/1/2019 3:55:16 pm,Completed,0:01:00
FNMPDataWarehouse,4/1/2019 6:32:04 am,4/1/2019 6:32:12 am,Completed,0:00:08
FNMPDataWarehouse,4/1/2019 6:25:44 am,4/1/2019 6:26:43 am,Completed,0:00:59
FNMPDataWarehouse,4/1/2019 6:17:02 am,4/1/2019 6:17:58 am,Completed,0:00:56
FNMPDataWarehouse,4/1/2019 6:02:01 am,4/1/2019 6:02:50 am,Completed,0:00:49
FNMPDataWarehouse,4/1/2019 2:58:06 am,4/1/2019 2:58:56 am,Completed,0:00:50
FNMPDataWarehouse,4/1/2019 2:43:04 am,4/1/2019 2:45:17 am,Completed,0:02:13
FNMPDataWarehouse,4/1/2019 1:52:52 am,4/1/2019 1:54:46 am,Completed,0:01:54
FNMPDataWarehouse,4/1/2019 1:37:25 am,4/1/2019 1:44:40 am,Completed,0:07:15
FNMPDataWarehouse,3/31/2019 7:20:16 am,3/31/2019 7:20:24 am,Completed,0:00:08
FNMPDataWarehouse,3/31/2019 7:18:51 am,3/31/2019 7:20:05 am,Completed,0:01:14
FNMPDataWarehouse,3/31/2019 7:10:00 am,3/31/2019 7:18:39 am,Completed,0:08:39
FNMPDataWarehouse,3/31/2019 6:59:39 am,3/31/2019 7:00:02 am,Completed,0:00:23
FNMPDataWarehouse,3/31/2019 6:44:37 am,3/31/2019 6:45:34 am,Completed,0:00:57
FNMPDataWarehouse,3/31/2019 6:29:36 am,3/31/2019 6:30:31 am,Completed,0:00:55
FNMPDataWarehouse,3/31/2019 2:25:16 am,3/31/2019 2:26:09 am,Completed,0:00:53
FNMPDataWarehouse,3/31/2019 2:10:14 am,3/31/2019 2:11:48 am,Completed,0:01:34
FNMPDataWarehouse,3/30/2019 7:08:38 am,3/30/2019 7:08:45 am,Completed,0:00:07
FNMPDataWarehouse,3/30/2019 7:06:58 am,3/30/2019 7:08:25 am,Completed,0:01:27
FNMPDataWarehouse,3/30/2019 6:53:26 am,3/30/2019 6:53:53 am,Completed,0:00:27
FNMPDataWarehouse,3/30/2019 6:38:25 am,3/30/2019 6:39:58 am,Completed,0:01:33
FNMPDataWarehouse,3/30/2019 6:23:29 am,3/30/2019 6:24:25 am,Completed,0:00:56
FNMPDataWarehouse,3/30/2019 2:25:13 am,3/30/2019 2:25:53 am,Completed,0:00:40
FNMPDataWarehouse,3/30/2019 2:09:52 am,3/30/2019 2:11:48 am,Completed,0:01:56
FNMPDataWarehouse,3/29/2019 7:49:04 am,3/29/2019 7:50:44 am,Completed,0:01:40
FNMPDataWarehouse,3/29/2019 7:43:03 am,3/29/2019 7:44:01 am,Completed,0:00:58
FNMPDataWarehouse,3/29/2019 7:28:01 am,3/29/2019 7:28:27 am,Completed,0:00:26
FNMPDataWarehouse,3/29/2019 7:13:00 am,3/29/2019 7:14:14 am,Completed,0:01:14
FNMPDataWarehouse,3/29/2019 6:57:58 am,3/29/2019 6:59:03 am,Completed,0:01:05
FNMPDataWarehouse,3/29/2019 2:32:08 am,3/29/2019 2:34:36 am,Completed,0:02:28
FNMPDataWarehouse,3/29/2019 2:16:52 am,3/29/2019 2:18:37 am,Completed,0:01:45
FNMPDataWarehouse,3/28/2019 8:38:11 am,3/28/2019 8:38:18 am,Completed,0:00:07
FNMPDataWarehouse,3/28/2019 8:26:50 am,3/28/2019 8:28:20 am,Completed,0:01:30
FNMPDataWarehouse,3/28/2019 8:23:09 am,3/28/2019 8:25:12 am,Completed,0:02:03
FNMPDataWarehouse,3/28/2019 8:08:07 am,3/28/2019 8:08:44 am,Completed,0:00:37
FNMPDataWarehouse,3/28/2019 7:53:11 am,3/28/2019 7:54:34 am,Completed,0:01:23
FNMPDataWarehouse,3/28/2019 7:38:10 am,3/28/2019 7:40:14 am,Completed,0:02:04
FNMPDataWarehouse,3/28/2019 7:23:08 am,3/28/2019 7:24:43 am,Completed,0:01:35
FNMPDataWarehouse,3/28/2019 2:27:13 am,3/28/2019 2:28:52 am,Completed,0:01:39
FNMPDataWarehouse,3/28/2019 2:12:12 am,3/28/2019 2:15:33 am,Completed,0:03:21
FNMPDataWarehouse,3/27/2019 3:12:41 pm,3/27/2019 3:13:03 pm,Completed,0:00:22
FNMPDataWarehouse,3/27/2019 2:57:39 pm,3/27/2019 2:58:02 pm,Completed,0:00:23
FNMPDataWarehouse,3/26/2019 10:02:55 pm,3/26/2019 10:03:03 pm,Completed,0:00:08
FNMPDataWarehouse,3/26/2019 9:52:19 pm,3/26/2019 9:52:31 pm,Completed,0:00:12
FNMPDataWarehouse,3/26/2019 9:29:52 pm,3/26/2019 9:30:00 pm,Completed,0:00:08
FNMPDataWarehouse,3/26/2019 9:14:51 pm,3/26/2019 9:14:59 pm,Completed,0:00:08
FNMPDataWarehouse,3/26/2019 8:59:49 pm,3/26/2019 8:59:59 pm,Completed,0:00:10
FNMPDataWarehouse,3/26/2019 8:18:45 pm,3/26/2019 8:18:54 pm,Completed,0:00:09
FNMPDataWarehouse,3/26/2019 8:03:39 pm,3/26/2019 8:04:13 pm,Completed,0:00:34
FNMPDataWarehouse,3/26/2019 7:48:33 pm,3/26/2019 7:51:38 pm,Completed,0:03:05
FNMPDataWarehouse,3/25/2019 8:18:16 pm,3/25/2019 8:18:23 pm,Completed,0:00:07
FNMPDataWarehouse,3/25/2019 8:17:10 pm,3/25/2019 8:18:05 pm,Completed,0:00:55
FNMPDataWarehouse,3/25/2019 12:24:37 pm,3/25/2019 12:24:45 pm,Completed,0:00:08
FNMPDataWarehouse,3/25/2019 12:23:22 pm,3/25/2019 12:24:27 pm,Completed,0:01:05
FNMPDataWarehouse,3/25/2019 7:09:40 am,3/25/2019 7:09:48 am,Completed,0:00:08
FNMPDataWarehouse,3/25/2019 7:04:24 am,3/25/2019 7:05:29 am,Completed,0:01:05
FNMPDataWarehouse,3/25/2019 6:54:38 am,3/25/2019 6:55:07 am,Completed,0:00:29
FNMPDataWarehouse,3/25/2019 6:39:37 am,3/25/2019 6:40:32 am,Completed,0:00:55
FNMPDataWarehouse,3/25/2019 6:24:40 am,3/25/2019 6:25:42 am,Completed,0:01:02
FNMPDataWarehouse,3/25/2019 2:24:30 am,3/25/2019 2:24:59 am,Completed,0:00:29
FNMPDataWarehouse,3/25/2019 2:09:19 am,3/25/2019 2:12:05 am,Completed,0:02:46
FNMPDataWarehouse,3/24/2019 6:03:37 am,3/24/2019 6:03:44 am,Completed,0:00:07
FNMPDataWarehouse,3/24/2019 6:00:06 am,3/24/2019 6:01:51 am,Completed,0:01:45
FNMPDataWarehouse,3/24/2019 5:54:31 am,3/24/2019 5:55:27 am,Completed,0:00:56
FNMPDataWarehouse,3/24/2019 5:48:35 am,3/24/2019 5:49:31 am,Completed,0:00:56
FNMPDataWarehouse,3/24/2019 5:33:34 am,3/24/2019 5:34:23 am,Completed,0:00:49
FNMPDataWarehouse,3/24/2019 2:35:19 am,3/24/2019 2:36:12 am,Completed,0:00:53
FNMPDataWarehouse,3/24/2019 2:20:03 am,3/24/2019 2:21:25 am,Completed,0:01:22
FNMPDataWarehouse,3/23/2019 5:55:09 am,3/23/2019 5:55:17 am,Completed,0:00:08
FNMPDataWarehouse,3/23/2019 5:45:03 am,3/23/2019 5:46:05 am,Completed,0:01:02
FNMPDataWarehouse,3/23/2019 5:40:07 am,3/23/2019 5:41:03 am,Completed,0:00:56
FNMPDataWarehouse,3/23/2019 5:25:06 am,3/23/2019 5:26:06 am,Completed,0:01:00
FNMPDataWarehouse,3/23/2019 2:25:27 am,3/23/2019 2:25:53 am,Completed,0:00:26
FNMPDataWarehouse,3/23/2019 2:10:01 am,3/23/2019 2:12:51 am,Completed,0:02:50
FNMPDataWarehouse,3/22/2019 7:01:12 am,3/22/2019 7:01:19 am,Completed,0:00:07
FNMPDataWarehouse,3/22/2019 6:57:37 am,3/22/2019 6:58:57 am,Completed,0:01:20
FNMPDataWarehouse,3/22/2019 6:46:10 am,3/22/2019 6:46:34 am,Completed,0:00:24
FNMPDataWarehouse,3/22/2019 6:31:09 am,3/22/2019 6:32:06 am,Completed,0:00:57
FNMPDataWarehouse,3/22/2019 6:16:07 am,3/22/2019 6:17:07 am,Completed,0:01:00
FNMPDataWarehouse,3/22/2019 2:25:35 am,3/22/2019 2:26:32 am,Completed,0:00:57
FNMPDataWarehouse,3/22/2019 2:10:05 am,3/22/2019 2:12:56 am,Completed,0:02:51
FNMPDataWarehouse,3/21/2019 5:44:35 am,3/21/2019 5:45:53 am,Completed,0:01:18
FNMPDataWarehouse,3/21/2019 5:36:33 am,3/21/2019 5:37:34 am,Completed,0:01:01
FNMPDataWarehouse,3/21/2019 5:21:32 am,3/21/2019 5:22:21 am,Completed,0:00:49
FNMPDataWarehouse,3/21/2019 2:24:52 am,3/21/2019 2:25:45 am,Completed,0:00:53
FNMPDataWarehouse,3/21/2019 2:09:31 am,3/21/2019 2:11:27 am,Completed,0:01:56
FNMPDataWarehouse,3/20/2019 7:21:57 am,3/20/2019 7:22:04 am,Completed,0:00:07
FNMPDataWarehouse,3/20/2019 7:20:37 am,3/20/2019 7:21:43 am,Completed,0:01:06
FNMPDataWarehouse,3/20/2019 7:06:50 am,3/20/2019 7:07:18 am,Completed,0:00:28
FNMPDataWarehouse,3/20/2019 6:51:49 am,3/20/2019 6:53:01 am,Completed,0:01:12
FNMPDataWarehouse,3/20/2019 6:36:56 am,3/20/2019 6:37:54 am,Completed,0:00:58
FNMPDataWarehouse,3/20/2019 2:25:52 am,3/20/2019 2:26:20 am,Completed,0:00:28
