Task/Step,Start Date,End Date,Status,Duration
FlexNet Manager Suite,4/8/2019 2:40:28 am,4/8/2019 7:23:25 am,Completed,4:42:57
FlexNet Manager Suite,4/8/2019 1:02:31 am,4/8/2019 1:02:38 am,Completed,0:00:07
FlexNet Manager Suite,4/8/2019 12:32:13 am,4/8/2019 12:32:21 am,Completed,0:00:08
FlexNet Manager Suite,4/8/2019 12:02:11 am,4/8/2019 12:02:18 am,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 11:32:13 pm,4/7/2019 11:32:20 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 11:02:10 pm,4/7/2019 11:02:17 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 10:32:07 pm,4/7/2019 10:32:15 pm,Completed,0:00:08
FlexNet Manager Suite,4/7/2019 10:02:10 pm,4/7/2019 10:02:17 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 9:32:07 pm,4/7/2019 9:32:14 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 9:02:04 pm,4/7/2019 9:02:11 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 8:32:06 pm,4/7/2019 8:32:14 pm,Completed,0:00:08
FlexNet Manager Suite,4/7/2019 8:02:04 pm,4/7/2019 8:02:11 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 7:32:01 pm,4/7/2019 7:32:08 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 7:02:03 pm,4/7/2019 7:02:10 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 6:32:00 pm,4/7/2019 6:32:08 pm,Completed,0:00:08
FlexNet Manager Suite,4/7/2019 6:01:58 pm,4/7/2019 6:02:05 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 5:32:00 pm,4/7/2019 5:32:07 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 5:01:57 pm,4/7/2019 5:02:04 pm,Completed,0:00:07
FlexNet Manager Suite,4/7/2019 4:31:55 pm,4/7/2019 4:32:02 pm,Completed,0:00:07
