Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation for IBM PVU,4/8/2019 1:02:38 am,4/8/2019 1:02:40 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/8/2019 12:32:21 am,4/8/2019 12:32:23 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/8/2019 12:02:18 am,4/8/2019 12:02:19 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 11:32:20 pm,4/7/2019 11:32:22 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 11:02:18 pm,4/7/2019 11:02:19 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 10:32:15 pm,4/7/2019 10:32:16 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 10:02:17 pm,4/7/2019 10:02:18 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 9:32:14 pm,4/7/2019 9:32:15 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 9:02:11 pm,4/7/2019 9:02:12 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 8:32:14 pm,4/7/2019 8:32:15 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 8:02:11 pm,4/7/2019 8:02:12 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 7:32:08 pm,4/7/2019 7:32:09 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 7:02:11 pm,4/7/2019 7:02:12 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 6:32:08 pm,4/7/2019 6:32:09 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 6:02:05 pm,4/7/2019 6:02:06 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 5:32:07 pm,4/7/2019 5:32:08 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 5:02:04 pm,4/7/2019 5:02:06 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 4:32:02 pm,4/7/2019 4:32:03 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 4:01:59 pm,4/7/2019 4:02:00 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 3:32:01 pm,4/7/2019 3:32:03 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 3:01:59 pm,4/7/2019 3:02:00 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 2:31:56 pm,4/7/2019 2:31:57 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 2:01:59 pm,4/7/2019 2:02:00 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 1:31:55 pm,4/7/2019 1:31:57 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 1:01:53 pm,4/7/2019 1:01:54 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 12:31:55 pm,4/7/2019 12:31:56 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 12:01:52 pm,4/7/2019 12:01:53 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 11:31:49 am,4/7/2019 11:31:50 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 11:01:51 am,4/7/2019 11:01:52 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 10:31:49 am,4/7/2019 10:31:50 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 10:01:46 am,4/7/2019 10:01:47 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 9:31:48 am,4/7/2019 9:31:49 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 9:01:45 am,4/7/2019 9:01:47 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 8:31:51 am,4/7/2019 8:31:52 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 8:01:40 am,4/7/2019 8:01:41 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 7:31:37 am,4/7/2019 7:31:38 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 7:01:38 am,4/7/2019 7:01:39 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 6:31:43 am,4/7/2019 6:31:46 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/7/2019 6:01:36 am,4/7/2019 6:01:40 am,Completed,0:00:04,
Reconciliation for IBM PVU,4/7/2019 5:31:16 am,4/7/2019 5:31:17 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 5:01:02 am,4/7/2019 5:01:04 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 4:30:56 am,4/7/2019 4:30:57 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 4:01:21 am,4/7/2019 4:02:04 am,Completed,0:00:43,
Reconciliation for IBM PVU,4/7/2019 3:30:43 am,4/7/2019 3:30:46 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/7/2019 3:00:41 am,4/7/2019 3:00:42 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 2:30:43 am,4/7/2019 2:30:46 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/7/2019 2:00:41 am,4/7/2019 2:00:43 am,Completed,0:00:02,
Reconciliation for IBM PVU,4/7/2019 1:30:37 am,4/7/2019 1:30:41 am,Completed,0:00:04,
Reconciliation for IBM PVU,4/7/2019 1:00:36 am,4/7/2019 1:00:39 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/7/2019 12:30:17 am,4/7/2019 12:30:18 am,Completed,0:00:01,
Reconciliation for IBM PVU,4/7/2019 12:00:19 am,4/7/2019 12:00:22 am,Completed,0:00:03,
Reconciliation for IBM PVU,4/6/2019 11:30:16 pm,4/6/2019 11:30:17 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 11:00:18 pm,4/6/2019 11:00:19 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 10:29:59 pm,4/6/2019 10:30:00 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 9:59:56 pm,4/6/2019 9:59:57 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 9:29:53 pm,4/6/2019 9:29:55 pm,Completed,0:00:02,
Reconciliation for IBM PVU,4/6/2019 8:59:51 pm,4/6/2019 8:59:52 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 8:29:53 pm,4/6/2019 8:29:54 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:59:50 pm,4/6/2019 7:59:51 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 7:29:48 pm,4/6/2019 7:29:49 pm,Completed,0:00:01,
Reconciliation for IBM PVU,4/6/2019 6:59:51 pm,4/6/2019 6:59:52 pm,Completed,0:00:01,
