Task/Step,Start Date,End Date,Status,Duration,Average Time
Reconciliation,4/8/2019 2:46:01 am,4/8/2019 7:23:25 am,Completed,4:37:24,
Reconciliation,4/7/2019 2:05:34 am,4/7/2019 8:25:45 am,Completed,6:20:11,
Reconciliation,4/6/2019 2:05:16 am,4/6/2019 7:06:59 am,Completed,5:01:43,
Reconciliation,4/5/2019 2:05:20 am,4/5/2019 6:24:46 am,Completed,4:19:26,
Reconciliation,4/4/2019 2:05:21 am,4/4/2019 7:32:22 am,Completed,5:27:01,
Reconciliation,4/1/2019 2:38:12 am,4/1/2019 6:25:33 am,Completed,3:47:21,
Reconciliation,3/31/2019 2:05:16 am,3/31/2019 7:09:42 am,Completed,5:04:26,
Reconciliation,3/30/2019 2:05:07 am,3/30/2019 7:06:46 am,Completed,5:01:39,
Reconciliation,3/29/2019 2:07:20 am,3/29/2019 7:48:49 am,Completed,5:41:29,
Reconciliation,3/28/2019 2:06:22 am,3/28/2019 8:26:39 am,Completed,6:20:17,
Reconciliation,3/25/2019 2:05:05 am,3/25/2019 7:04:11 am,Completed,4:59:06,
Reconciliation,3/24/2019 2:15:57 am,3/24/2019 5:54:19 am,Completed,3:38:22,
Reconciliation,3/23/2019 2:05:20 am,3/23/2019 5:44:52 am,Completed,3:39:32,
Reconciliation,3/22/2019 2:05:25 am,3/22/2019 6:57:24 am,Completed,4:51:59,
Reconciliation,3/21/2019 2:05:21 am,3/21/2019 5:44:21 am,Completed,3:39:00,
Reconciliation,3/20/2019 2:05:21 am,3/20/2019 7:20:24 am,Completed,5:15:03,
Reconciliation,3/19/2019 2:05:26 am,3/19/2019 7:04:02 am,Completed,4:58:36,
Reconciliation,3/18/2019 2:05:26 am,3/18/2019 4:15:22 am,Failed,2:09:56,
Reconciliation,3/17/2019 2:12:39 am,3/17/2019 5:55:30 am,Completed,3:42:51,
Reconciliation,3/16/2019 2:05:32 am,3/16/2019 5:48:38 am,Completed,3:43:06,
Reconciliation,3/13/2019 2:05:28 am,3/13/2019 5:47:23 am,Completed,3:41:55,
Reconciliation,3/12/2019 2:05:06 am,3/12/2019 7:38:26 am,Completed,5:33:20,
Reconciliation,3/11/2019 2:05:03 am,3/11/2019 7:25:06 am,Completed,5:20:03,
Reconciliation,3/10/2019 2:05:18 am,3/10/2019 6:06:46 am,Completed,4:01:28,
Reconciliation,3/9/2019 2:05:36 am,3/9/2019 7:25:31 am,Completed,5:19:55,
,,,,,4:39:00
