Task/Step,Start Date,End Date,Status,Duration
SCCM1,4/8/2019 12:00:15 am,4/8/2019 1:06:59 am,Completed,1:06:44
SCCM1,4/7/2019 12:00:15 am,4/7/2019 1:42:17 am,Completed,1:42:02
SCCM1,4/6/2019 12:00:16 am,4/6/2019 1:15:23 am,Completed,1:15:07
Combined_SCCM_SN_Tanium_Test_Import,4/5/2019 3:54:46 pm,4/5/2019 3:59:15 pm,Completed,0:04:29
Combined_SCCM_SN_Tanium_Test_Import,4/5/2019 2:50:25 pm,4/5/2019 2:52:51 pm,Completed,0:02:26
Combined_SCCM_SN_Tanium_Test_Import,4/5/2019 2:39:30 pm,4/5/2019 2:44:08 pm,Completed,0:04:38
SCCM1,4/5/2019 12:00:13 am,4/5/2019 1:18:52 am,Completed,1:18:39
Combined_SCCM_SN_Tanium_Test_Import,4/4/2019 6:05:45 pm,4/4/2019 6:08:13 pm,Completed,0:02:28
Combined_SCCM_SN_Tanium_Test_Import,4/4/2019 3:59:19 pm,4/4/2019 4:04:15 pm,Completed,0:04:56
SCCM1,4/4/2019 12:00:14 am,4/4/2019 1:07:19 am,Completed,1:07:05
SCCM1,4/3/2019 12:00:15 am,4/3/2019 1:09:16 am,Completed,1:09:01
SCCM1,4/2/2019 12:00:14 am,4/2/2019 1:06:36 am,Completed,1:06:22
Combined_SCCM_SN_Tanium_Test_Import,4/1/2019 3:52:31 pm,4/1/2019 3:54:04 pm,Completed,0:01:33
Combined_SCCM_SN_Tanium_Test_Import,4/1/2019 3:50:55 pm,4/1/2019 3:51:01 pm,Failed,0:00:06
Combined_SCCM_SN_Tanium_Test_Import,4/1/2019 3:49:31 pm,4/1/2019 3:49:38 pm,Failed,0:00:07
SCCM1,4/1/2019 12:00:13 am,4/1/2019 1:04:37 am,Completed,1:04:24
SCCM1,3/31/2019 12:00:15 am,3/31/2019 1:23:16 am,Completed,1:23:01
SCCM1,3/30/2019 12:00:14 am,3/30/2019 1:09:02 am,Completed,1:08:48
SCCM1,3/29/2019 12:00:14 am,3/29/2019 1:20:59 am,Completed,1:20:45
SCCM1,3/28/2019 12:00:14 am,3/28/2019 1:09:32 am,Completed,1:09:18
SCCM1,3/27/2019 12:00:13 am,3/27/2019 1:04:47 am,Completed,1:04:34
SCCM1,3/26/2019 12:00:14 am,3/26/2019 1:05:40 am,Completed,1:05:26
Combined_SCCM_SN_Tanium_Test_Import,3/25/2019 7:01:13 pm,3/25/2019 7:01:19 pm,Completed,0:00:06
Combined_SCCM_SN_Tanium_Test_Import,3/25/2019 6:31:22 pm,3/25/2019 6:31:29 pm,Completed,0:00:07
SCCM1,3/25/2019 12:00:14 am,3/25/2019 1:04:38 am,Completed,1:04:24
SCCM1,3/24/2019 12:00:14 am,3/24/2019 2:10:42 am,Completed,2:10:28
SCCM1,3/23/2019 12:00:13 am,3/23/2019 1:34:21 am,Completed,1:34:08
SCCM1,3/22/2019 12:00:15 am,3/22/2019 1:07:41 am,Completed,1:07:26
SCCM1,3/21/2019 12:00:13 am,3/21/2019 1:09:34 am,Completed,1:09:21
SCCM1,3/20/2019 12:00:14 am,3/20/2019 1:11:13 am,Completed,1:10:59
SCCM1,3/19/2019 12:00:14 am,3/19/2019 1:08:05 am,Completed,1:07:51
SCCM1,3/18/2019 12:00:13 am,3/18/2019 1:05:35 am,Completed,1:05:22
SCCM1,3/17/2019 12:00:14 am,3/17/2019 2:07:09 am,Completed,2:06:55
SCCM1,3/16/2019 12:00:13 am,3/16/2019 1:04:30 am,Completed,1:04:17
SCCM1,3/15/2019 12:27:52 am,3/15/2019 1:09:10 am,Completed,0:41:18
SCCM1,3/14/2019 12:00:24 am,3/14/2019 1:13:08 am,Completed,1:12:44
SCCM1,3/13/2019 12:00:25 am,3/13/2019 1:11:27 am,Completed,1:11:02
SCCM1,3/12/2019 12:00:23 am,3/12/2019 1:09:21 am,Completed,1:08:58
SCCM1,3/11/2019 12:00:24 am,3/11/2019 1:04:45 am,Completed,1:04:21
SCCM1,3/10/2019 12:00:23 am,3/10/2019 1:59:53 am,Completed,1:59:30
SCCM1,3/9/2019 12:00:23 am,3/9/2019 1:20:09 am,Completed,1:19:46
