Task/Step,Start Date,End Date,Status,Duration,Average Time
VMWare Introspection,4/7/2019 11:04:27 pm,4/7/2019 11:04:29 pm,In progress,0:00:02,
VMWare Introspection,4/6/2019 11:04:14 pm,4/6/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,4/5/2019 11:04:17 pm,4/5/2019 11:04:30 pm,In progress,0:00:13,
VMWare Introspection,4/4/2019 11:04:26 pm,4/4/2019 11:04:28 pm,In progress,0:00:02,
VMWare Introspection,4/3/2019 11:04:15 pm,4/3/2019 11:04:28 pm,In progress,0:00:13,
VMWare Introspection,4/2/2019 11:04:14 pm,4/2/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,4/1/2019 11:04:14 pm,,In progress,,
VMWare Introspection,3/31/2019 11:04:14 pm,3/31/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/30/2019 11:04:15 pm,3/30/2019 11:04:27 pm,In progress,0:00:12,
VMWare Introspection,3/29/2019 11:04:26 pm,,In progress,,
VMWare Introspection,3/28/2019 11:04:14 pm,3/28/2019 11:04:28 pm,In progress,0:00:14,
VMWare Introspection,3/27/2019 11:04:14 pm,3/27/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/26/2019 11:04:15 pm,3/26/2019 11:04:29 pm,In progress,0:00:14,
VMWare Introspection,3/25/2019 11:04:14 pm,3/25/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/24/2019 11:04:14 pm,,In progress,,
VMWare Introspection,3/23/2019 11:04:14 pm,3/23/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/22/2019 11:04:24 pm,3/22/2019 11:04:26 pm,In progress,0:00:02,
VMWare Introspection,3/21/2019 11:04:14 pm,3/21/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/20/2019 11:04:17 pm,3/20/2019 11:04:30 pm,In progress,0:00:13,
VMWare Introspection,3/19/2019 11:04:14 pm,3/19/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/18/2019 11:04:16 pm,3/18/2019 11:04:31 pm,In progress,0:00:15,
VMWare Introspection,3/17/2019 11:04:14 pm,3/17/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/16/2019 11:04:17 pm,3/16/2019 11:04:29 pm,In progress,0:00:12,
VMWare Introspection,3/15/2019 11:04:14 pm,3/15/2019 11:04:26 pm,In progress,0:00:12,
VMWare Introspection,3/13/2019 11:07:12 pm,3/13/2019 11:15:55 pm,Completed with errors,0:08:43,
VMWare Introspection,3/12/2019 11:07:12 pm,3/12/2019 11:35:54 pm,Completed with errors,0:28:42,
VMWare Introspection,3/12/2019 4:30:46 pm,3/12/2019 4:35:31 pm,Completed with errors,0:04:45,
VMWare Introspection,3/12/2019 4:25:19 pm,3/12/2019 4:30:19 pm,Completed with errors,0:05:00,
VMWare Introspection,3/11/2019 11:07:12 pm,3/11/2019 11:13:53 pm,Completed with errors,0:06:41,
VMWare Introspection,3/10/2019 11:07:26 pm,3/10/2019 11:13:53 pm,Timed out,0:06:27,
VMWare Introspection,3/9/2019 11:07:12 pm,3/9/2019 11:13:57 pm,Completed with errors,0:06:45,
,,,,,0:02:32
