"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"FNMPDataWarehouse","Data warehouse export","4/8/2019 7:23:35 am","4/8/2019 7:25:06 am","Completed","Export completed successfully","No"
"Exporting","Data warehouse export","4/8/2019 7:23:41 am","4/8/2019 7:25:05 am","Completed","Export completed successfully","Yes"
"Reconciliation","Reconciliation","4/8/2019 2:46:01 am","4/8/2019 7:23:25 am","Completed","License reconcile completed","No"
"Import inventory devices","Reconciliation","4/8/2019 2:46:01 am","4/8/2019 7:19:55 am","Completed","Inventory device import completed for the following sources:
FlexNet Manager Suite","Yes"
"Reconcile licenses","Reconciliation","4/8/2019 7:19:56 am","4/8/2019 7:23:25 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","Inventory import","4/8/2019 2:40:28 am","4/8/2019 7:23:25 am","Completed","License reconcile completed","No"
"Import into staging","Inventory import","4/8/2019 2:40:35 am","4/8/2019 2:46:00 am","Completed","Devices read from source: 5621","Yes"
"Import inventory devices","Inventory import","4/8/2019 2:46:01 am","4/8/2019 7:19:55 am","Completed","Devices read from source: 5621
Imported: 5603
Black listed: 0
Merged with other data sources: 47
Number of devices ignored due to license limit: 0","Yes"
"Reconcile software licenses","Inventory import","4/8/2019 7:19:56 am","4/8/2019 7:23:25 am","Completed","License reconcile completed","Yes"
"ARL Import","ARL import","4/8/2019 1:30:38 am","4/8/2019 2:40:24 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","4/8/2019 1:30:39 am","4/8/2019 2:40:24 am","Completed","ARL imported successfully","No"
"Reconciliation for IBM PVU","Reconciliation","4/8/2019 1:02:38 am","4/8/2019 1:02:40 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/8/2019 1:02:39 am","4/8/2019 1:02:40 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/8/2019 1:02:31 am","4/8/2019 1:02:38 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/8/2019 1:02:37 am","4/8/2019 1:02:38 am","Completed","Import completed","Yes"
"ARL Import","ARL import","4/8/2019 1:00:11 am","4/8/2019 1:30:32 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","4/8/2019 1:00:12 am","4/8/2019 1:30:32 am","Completed","ARL imported successfully","No"
"ARL Import","ARL import","4/8/2019 1:00:06 am","4/8/2019 1:00:08 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","4/8/2019 1:00:06 am","4/8/2019 1:00:08 am","Completed","ARL imported successfully","No"
"Reconciliation for IBM PVU","Reconciliation","4/8/2019 12:32:21 am","4/8/2019 12:32:23 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/8/2019 12:32:21 am","4/8/2019 12:32:23 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/8/2019 12:32:13 am","4/8/2019 12:32:21 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/8/2019 12:32:19 am","4/8/2019 12:32:21 am","Completed","Import completed","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/8/2019 12:02:18 am","4/8/2019 12:02:19 am","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/8/2019 12:02:18 am","4/8/2019 12:02:19 am","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/8/2019 12:02:11 am","4/8/2019 12:02:18 am","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/8/2019 12:02:17 am","4/8/2019 12:02:18 am","Completed","Import completed","Yes"
"SCCM1","Inventory import","4/8/2019 12:00:15 am","4/8/2019 1:06:59 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","No"
"Gathering inventory data","Inventory import","4/8/2019 12:00:16 am","4/8/2019 12:25:17 am","Completed","Inventory data saved as I[S=SCCM1]_20190408002324.zip
File size: 554.27 MB","Yes"
"Uploading to Application Server","Inventory import","4/8/2019 12:25:18 am","4/8/2019 12:26:08 am","Completed","Uploaded: I[S=SCCM1]_20190408002324.zip successfully
File size: 554.27 MB","No"
"Import into staging","Inventory import","4/8/2019 12:27:29 am","4/8/2019 1:06:58 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","Yes"
"Reconciliation for IBM PVU","Reconciliation","4/7/2019 11:32:20 pm","4/7/2019 11:32:22 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/7/2019 11:32:20 pm","4/7/2019 11:32:22 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/7/2019 11:32:13 pm","4/7/2019 11:32:20 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/7/2019 11:32:19 pm","4/7/2019 11:32:20 pm","Completed","Import completed","Yes"
"VMWare Introspection","Discovery and inventory rule","4/7/2019 11:04:27 pm","4/7/2019 11:04:29 pm","In progress","Beacon(s) with schedule pending: 1
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"vwn04584 - Parent Beacon","Discovery and inventory rule","","","Scheduled","","No"
"uwn2008 - Child Beacon","Discovery and inventory rule","4/7/2019 11:04:27 pm","4/7/2019 11:04:29 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","4/7/2019 11:04:27 pm","4/7/2019 11:04:27 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
